Fator de Falha (%)	Tempo Entre Descargas (min)	Duração de Descarga (s)	Nº de Peças Total	Nº de Peças Simultâneas
1,0	 5	10	1	1
1,0	 5	20	1	1
1,0	 5	30	1	1
1,0	 5	40	1	1
1,0	 5	50	1	1
1,0	 5	75	1	1
1,0	 5	100	1	1
1,0	 5	300	1	1
1,0	 5	350	1	1
1,0	 5	400	1	1
1,0	 5	450	1	1
1,0	 5	500	1	1
1,0	 5	10	2	1
1,0	 5	20	2	1
1,0	 5	30	2	1
1,0	 5	40	2	2
1,0	 5	50	2	2
1,0	 5	75	2	2
1,0	 5	100	2	2
1,0	 5	300	2	2
1,0	 5	350	2	2
1,0	 5	400	2	2
1,0	 5	450	2	2
1,0	 5	500	2	2
1,0	 5	10	3	1
1,0	 5	20	3	2
1,0	 5	30	3	2
1,0	 5	40	3	2
1,0	 5	50	3	2
1,0	 5	75	3	3
1,0	 5	100	3	3
1,0	 5	300	3	3
1,0	 5	350	3	3
1,0	 5	400	3	3
1,0	 5	450	3	3
1,0	 5	500	3	3
1,0	 5	10	4	1
1,0	 5	20	4	2
1,0	 5	30	4	2
1,0	 5	40	4	2
1,0	 5	50	4	3
1,0	 5	75	4	3
1,0	 5	100	4	4
1,0	 5	300	4	4
1,0	 5	350	4	4
1,0	 5	400	4	4
1,0	 5	450	4	4
1,0	 5	500	4	4
1,0	 5	10	5	2
1,0	 5	20	5	2
1,0	 5	30	5	2
1,0	 5	40	5	3
1,0	 5	50	5	3
1,0	 5	75	5	4
1,0	 5	100	5	4
1,0	 5	300	5	5
1,0	 5	350	5	5
1,0	 5	400	5	5
1,0	 5	450	5	5
1,0	 5	500	5	5
1,0	 5	10	6	2
1,0	 5	20	6	2
1,0	 5	30	6	3
1,0	 5	40	6	3
1,0	 5	50	6	3
1,0	 5	75	6	4
1,0	 5	100	6	5
1,0	 5	300	6	6
1,0	 5	350	6	6
1,0	 5	400	6	6
1,0	 5	450	6	6
1,0	 5	500	6	6
1,0	 5	10	7	2
1,0	 5	20	7	2
1,0	 5	30	7	3
1,0	 5	40	7	3
1,0	 5	50	7	4
1,0	 5	75	7	5
1,0	 5	100	7	5
1,0	 5	300	7	7
1,0	 5	350	7	7
1,0	 5	400	7	7
1,0	 5	450	7	7
1,0	 5	500	7	7
1,0	 5	10	8	2
1,0	 5	20	8	3
1,0	 5	30	8	3
1,0	 5	40	8	4
1,0	 5	50	8	4
1,0	 5	75	8	5
1,0	 5	100	8	6
1,0	 5	300	8	8
1,0	 5	350	8	8
1,0	 5	400	8	8
1,0	 5	450	8	8
1,0	 5	500	8	8
1,0	 5	10	9	2
1,0	 5	20	9	3
1,0	 5	30	9	3
1,0	 5	40	9	4
1,0	 5	50	9	4
1,0	 5	75	9	5
1,0	 5	100	9	6
1,0	 5	300	9	9
1,0	 5	350	9	9
1,0	 5	400	9	9
1,0	 5	450	9	9
1,0	 5	500	9	9
1,0	 5	10	10	2
1,0	 5	20	10	3
1,0	 5	30	10	4
1,0	 5	40	10	4
1,0	 5	50	10	5
1,0	 5	75	10	6
1,0	 5	100	10	7
1,0	 5	300	10	10
1,0	 5	350	10	10
1,0	 5	400	10	10
1,0	 5	450	10	10
1,0	 5	500	10	10
1,0	 5	10	11	2
1,0	 5	20	11	3
1,0	 5	30	11	4
1,0	 5	40	11	4
1,0	 5	50	11	5
1,0	 5	75	11	6
1,0	 5	100	11	7
1,0	 5	300	11	11
1,0	 5	350	11	11
1,0	 5	400	11	11
1,0	 5	450	11	11
1,0	 5	500	11	11
1,0	 5	10	12	2
1,0	 5	20	12	3
1,0	 5	30	12	4
1,0	 5	40	12	5
1,0	 5	50	12	5
1,0	 5	75	12	7
1,0	 5	100	12	8
1,0	 5	300	12	12
1,0	 5	350	12	12
1,0	 5	400	12	12
1,0	 5	450	12	12
1,0	 5	500	12	12
1,0	 5	10	13	2
1,0	 5	20	13	3
1,0	 5	30	13	4
1,0	 5	40	13	5
1,0	 5	50	13	6
1,0	 5	75	13	7
1,0	 5	100	13	8
1,0	 5	300	13	13
1,0	 5	350	13	13
1,0	 5	400	13	13
1,0	 5	450	13	13
1,0	 5	500	13	13
1,0	 5	10	14	3
1,0	 5	20	14	4
1,0	 5	30	14	4
1,0	 5	40	14	5
1,0	 5	50	14	6
1,0	 5	75	14	8
1,0	 5	100	14	9
1,0	 5	300	14	14
1,0	 5	350	14	14
1,0	 5	400	14	14
1,0	 5	450	14	14
1,0	 5	500	14	14
1,0	 5	10	15	3
1,0	 5	20	15	4
1,0	 5	30	15	5
1,0	 5	40	15	5
1,0	 5	50	15	6
1,0	 5	75	15	8
1,0	 5	100	15	9
1,0	 5	300	15	15
1,0	 5	350	15	15
1,0	 5	400	15	15
1,0	 5	450	15	15
1,0	 5	500	15	15
1,0	 5	10	16	3
1,0	 5	20	16	4
1,0	 5	30	16	5
1,0	 5	40	16	6
1,0	 5	50	16	7
1,0	 5	75	16	8
1,0	 5	100	16	10
1,0	 5	300	16	16
1,0	 5	350	16	16
1,0	 5	400	16	16
1,0	 5	450	16	16
1,0	 5	500	16	16
1,0	 5	10	17	3
1,0	 5	20	17	4
1,0	 5	30	17	5
1,0	 5	40	17	6
1,0	 5	50	17	7
1,0	 5	75	17	9
1,0	 5	100	17	10
1,0	 5	300	17	17
1,0	 5	350	17	17
1,0	 5	400	17	17
1,0	 5	450	17	17
1,0	 5	500	17	17
1,0	 5	10	18	3
1,0	 5	20	18	4
1,0	 5	30	18	5
1,0	 5	40	18	6
1,0	 5	50	18	7
1,0	 5	75	18	9
1,0	 5	100	18	11
1,0	 5	300	18	18
1,0	 5	350	18	18
1,0	 5	400	18	18
1,0	 5	450	18	18
1,0	 5	500	18	18
1,0	 5	10	19	3
1,0	 5	20	19	4
1,0	 5	30	19	5
1,0	 5	40	19	6
1,0	 5	50	19	7
1,0	 5	75	19	9
1,0	 5	100	19	11
1,0	 5	300	19	19
1,0	 5	350	19	19
1,0	 5	400	19	19
1,0	 5	450	19	19
1,0	 5	500	19	19
1,0	 5	10	20	3
1,0	 5	20	20	4
1,0	 5	30	20	6
1,0	 5	40	20	7
1,0	 5	50	20	8
1,0	 5	75	20	10
1,0	 5	100	20	12
1,0	 5	300	20	20
1,0	 5	350	20	20
1,0	 5	400	20	20
1,0	 5	450	20	20
1,0	 5	500	20	20
1,0	 5	10	25	3
1,0	 5	20	25	5
1,0	 5	30	25	6
1,0	 5	40	25	8
1,0	 5	50	25	9
1,0	 5	75	25	12
1,0	 5	100	25	14
1,0	 5	300	25	25
1,0	 5	350	25	25
1,0	 5	400	25	25
1,0	 5	450	25	25
1,0	 5	500	25	25
1,0	 5	10	30	4
1,0	 5	20	30	6
1,0	 5	30	30	7
1,0	 5	40	30	9
1,0	 5	50	30	10
1,0	 5	75	30	13
1,0	 5	100	30	16
1,0	 5	300	30	30
1,0	 5	350	30	30
1,0	 5	400	30	30
1,0	 5	450	30	30
1,0	 5	500	30	30
1,0	 5	10	35	4
1,0	 5	20	35	6
1,0	 5	30	35	8
1,0	 5	40	35	10
1,0	 5	50	35	11
1,0	 5	75	35	15
1,0	 5	100	35	18
1,0	 5	300	35	35
1,0	 5	350	35	35
1,0	 5	400	35	35
1,0	 5	450	35	35
1,0	 5	500	35	35
1,0	 5	10	40	5
1,0	 5	20	40	7
1,0	 5	30	40	9
1,0	 5	40	40	11
1,0	 5	50	40	13
1,0	 5	75	40	17
1,0	 5	100	40	20
1,0	 5	300	40	40
1,0	 5	350	40	40
1,0	 5	400	40	40
1,0	 5	450	40	40
1,0	 5	500	40	40
1,0	 5	10	45	5
1,0	 5	20	45	7
1,0	 5	30	45	10
1,0	 5	40	45	12
1,0	 5	50	45	14
1,0	 5	75	45	18
1,0	 5	100	45	23
1,0	 5	300	45	45
1,0	 5	350	45	45
1,0	 5	400	45	45
1,0	 5	450	45	45
1,0	 5	500	45	45
1,0	 5	10	50	5
1,0	 5	20	50	8
1,0	 5	30	50	10
1,0	 5	40	50	13
1,0	 5	50	50	15
1,0	 5	75	50	20
1,0	 5	100	50	25
1,0	 5	300	50	50
1,0	 5	350	50	50
1,0	 5	400	50	50
1,0	 5	450	50	50
1,0	 5	500	50	50
1,0	10	10	1	1
1,0	10	20	1	1
1,0	10	30	1	1
1,0	10	40	1	1
1,0	10	50	1	1
1,0	10	75	1	1
1,0	10	100	1	1
1,0	10	300	1	1
1,0	10	350	1	1
1,0	10	400	1	1
1,0	10	450	1	1
1,0	10	500	1	1
1,0	10	10	2	1
1,0	10	20	2	1
1,0	10	30	2	1
1,0	10	40	2	1
1,0	10	50	2	1
1,0	10	75	2	2
1,0	10	100	2	2
1,0	10	300	2	2
1,0	10	350	2	2
1,0	10	400	2	2
1,0	10	450	2	2
1,0	10	500	2	2
1,0	10	10	3	1
1,0	10	20	3	1
1,0	10	30	3	1
1,0	10	40	3	2
1,0	10	50	3	2
1,0	10	75	3	2
1,0	10	100	3	2
1,0	10	300	3	3
1,0	10	350	3	3
1,0	10	400	3	3
1,0	10	450	3	3
1,0	10	500	3	3
1,0	10	10	4	1
1,0	10	20	4	1
1,0	10	30	4	2
1,0	10	40	4	2
1,0	10	50	4	2
1,0	10	75	4	2
1,0	10	100	4	3
1,0	10	300	4	4
1,0	10	350	4	4
1,0	10	400	4	4
1,0	10	450	4	4
1,0	10	500	4	4
1,0	10	10	5	1
1,0	10	20	5	2
1,0	10	30	5	2
1,0	10	40	5	2
1,0	10	50	5	2
1,0	10	75	5	3
1,0	10	100	5	3
1,0	10	300	5	5
1,0	10	350	5	5
1,0	10	400	5	5
1,0	10	450	5	5
1,0	10	500	5	5
1,0	10	10	6	1
1,0	10	20	6	2
1,0	10	30	6	2
1,0	10	40	6	2
1,0	10	50	6	2
1,0	10	75	6	3
1,0	10	100	6	3
1,0	10	300	6	6
1,0	10	350	6	6
1,0	10	400	6	6
1,0	10	450	6	6
1,0	10	500	6	6
1,0	10	10	7	1
1,0	10	20	7	2
1,0	10	30	7	2
1,0	10	40	7	2
1,0	10	50	7	3
1,0	10	75	7	3
1,0	10	100	7	4
1,0	10	300	7	6
1,0	10	350	7	7
1,0	10	400	7	7
1,0	10	450	7	7
1,0	10	500	7	7
1,0	10	10	8	1
1,0	10	20	8	2
1,0	10	30	8	2
1,0	10	40	8	3
1,0	10	50	8	3
1,0	10	75	8	4
1,0	10	100	8	4
1,0	10	300	8	7
1,0	10	350	8	8
1,0	10	400	8	8
1,0	10	450	8	8
1,0	10	500	8	8
1,0	10	10	9	1
1,0	10	20	9	2
1,0	10	30	9	2
1,0	10	40	9	3
1,0	10	50	9	3
1,0	10	75	9	4
1,0	10	100	9	4
1,0	10	300	9	8
1,0	10	350	9	8
1,0	10	400	9	9
1,0	10	450	9	9
1,0	10	500	9	9
1,0	10	10	10	2
1,0	10	20	10	2
1,0	10	30	10	3
1,0	10	40	10	3
1,0	10	50	10	3
1,0	10	75	10	4
1,0	10	100	10	5
1,0	10	300	10	9
1,0	10	350	10	9
1,0	10	400	10	10
1,0	10	450	10	10
1,0	10	500	10	10
1,0	10	10	11	2
1,0	10	20	11	2
1,0	10	30	11	3
1,0	10	40	11	3
1,0	10	50	11	3
1,0	10	75	11	4
1,0	10	100	11	5
1,0	10	300	11	9
1,0	10	350	11	10
1,0	10	400	11	11
1,0	10	450	11	11
1,0	10	500	11	11
1,0	10	10	12	2
1,0	10	20	12	2
1,0	10	30	12	3
1,0	10	40	12	3
1,0	10	50	12	4
1,0	10	75	12	5
1,0	10	100	12	5
1,0	10	300	12	10
1,0	10	350	12	11
1,0	10	400	12	11
1,0	10	450	12	12
1,0	10	500	12	12
1,0	10	10	13	2
1,0	10	20	13	2
1,0	10	30	13	3
1,0	10	40	13	3
1,0	10	50	13	4
1,0	10	75	13	5
1,0	10	100	13	6
1,0	10	300	13	11
1,0	10	350	13	11
1,0	10	400	13	12
1,0	10	450	13	13
1,0	10	500	13	13
1,0	10	10	14	2
1,0	10	20	14	3
1,0	10	30	14	3
1,0	10	40	14	4
1,0	10	50	14	4
1,0	10	75	14	5
1,0	10	100	14	6
1,0	10	300	14	11
1,0	10	350	14	12
1,0	10	400	14	13
1,0	10	450	14	14
1,0	10	500	14	14
1,0	10	10	15	2
1,0	10	20	15	3
1,0	10	30	15	3
1,0	10	40	15	4
1,0	10	50	15	4
1,0	10	75	15	5
1,0	10	100	15	6
1,0	10	300	15	12
1,0	10	350	15	13
1,0	10	400	15	14
1,0	10	450	15	15
1,0	10	500	15	15
1,0	10	10	16	2
1,0	10	20	16	3
1,0	10	30	16	3
1,0	10	40	16	4
1,0	10	50	16	4
1,0	10	75	16	5
1,0	10	100	16	7
1,0	10	300	16	13
1,0	10	350	16	14
1,0	10	400	16	15
1,0	10	450	16	16
1,0	10	500	16	16
1,0	10	10	17	2
1,0	10	20	17	3
1,0	10	30	17	3
1,0	10	40	17	4
1,0	10	50	17	5
1,0	10	75	17	6
1,0	10	100	17	7
1,0	10	300	17	13
1,0	10	350	17	14
1,0	10	400	17	15
1,0	10	450	17	16
1,0	10	500	17	17
1,0	10	10	18	2
1,0	10	20	18	3
1,0	10	30	18	4
1,0	10	40	18	4
1,0	10	50	18	5
1,0	10	75	18	6
1,0	10	100	18	7
1,0	10	300	18	14
1,0	10	350	18	15
1,0	10	400	18	16
1,0	10	450	18	17
1,0	10	500	18	18
1,0	10	10	19	2
1,0	10	20	19	3
1,0	10	30	19	4
1,0	10	40	19	4
1,0	10	50	19	5
1,0	10	75	19	6
1,0	10	100	19	7
1,0	10	300	19	14
1,0	10	350	19	16
1,0	10	400	19	17
1,0	10	450	19	18
1,0	10	500	19	19
1,0	10	10	20	2
1,0	10	20	20	3
1,0	10	30	20	4
1,0	10	40	20	4
1,0	10	50	20	5
1,0	10	75	20	6
1,0	10	100	20	8
1,0	10	300	20	15
1,0	10	350	20	17
1,0	10	400	20	18
1,0	10	450	20	19
1,0	10	500	20	20
1,0	10	10	25	2
1,0	10	20	25	3
1,0	10	30	25	4
1,0	10	40	25	5
1,0	10	50	25	6
1,0	10	75	25	7
1,0	10	100	25	9
1,0	10	300	25	18
1,0	10	350	25	20
1,0	10	400	25	22
1,0	10	450	25	23
1,0	10	500	25	25
1,0	10	10	30	3
1,0	10	20	30	4
1,0	10	30	30	5
1,0	10	40	30	6
1,0	10	50	30	7
1,0	10	75	30	8
1,0	10	100	30	10
1,0	10	300	30	21
1,0	10	350	30	24
1,0	10	400	30	26
1,0	10	450	30	28
1,0	10	500	30	29
1,0	10	10	35	3
1,0	10	20	35	4
1,0	10	30	35	5
1,0	10	40	35	6
1,0	10	50	35	7
1,0	10	75	35	9
1,0	10	100	35	11
1,0	10	300	35	24
1,0	10	350	35	27
1,0	10	400	35	29
1,0	10	450	35	32
1,0	10	500	35	34
1,0	10	10	40	3
1,0	10	20	40	5
1,0	10	30	40	6
1,0	10	40	40	7
1,0	10	50	40	8
1,0	10	75	40	10
1,0	10	100	40	13
1,0	10	300	40	27
1,0	10	350	40	30
1,0	10	400	40	33
1,0	10	450	40	36
1,0	10	500	40	38
1,0	10	10	45	3
1,0	10	20	45	5
1,0	10	30	45	6
1,0	10	40	45	7
1,0	10	50	45	9
1,0	10	75	45	11
1,0	10	100	45	14
1,0	10	300	45	30
1,0	10	350	45	34
1,0	10	400	45	37
1,0	10	450	45	40
1,0	10	500	45	43
1,0	10	10	50	3
1,0	10	20	50	5
1,0	10	30	50	7
1,0	10	40	50	8
1,0	10	50	50	9
1,0	10	75	50	12
1,0	10	100	50	15
1,0	10	300	50	33
1,0	10	350	50	37
1,0	10	400	50	41
1,0	10	450	50	44
1,0	10	500	50	47
1,0	15	10	1	1
1,0	15	20	1	1
1,0	15	30	1	1
1,0	15	40	1	1
1,0	15	50	1	1
1,0	15	75	1	1
1,0	15	100	1	1
1,0	15	300	1	1
1,0	15	350	1	1
1,0	15	400	1	1
1,0	15	450	1	1
1,0	15	500	1	1
1,0	15	10	2	1
1,0	15	20	2	1
1,0	15	30	2	1
1,0	15	40	2	1
1,0	15	50	2	1
1,0	15	75	2	1
1,0	15	100	2	2
1,0	15	300	2	2
1,0	15	350	2	2
1,0	15	400	2	2
1,0	15	450	2	2
1,0	15	500	2	2
1,0	15	10	3	1
1,0	15	20	3	1
1,0	15	30	3	1
1,0	15	40	3	1
1,0	15	50	3	1
1,0	15	75	3	2
1,0	15	100	3	2
1,0	15	300	3	3
1,0	15	350	3	3
1,0	15	400	3	3
1,0	15	450	3	3
1,0	15	500	3	3
1,0	15	10	4	1
1,0	15	20	4	1
1,0	15	30	4	1
1,0	15	40	4	2
1,0	15	50	4	2
1,0	15	75	4	2
1,0	15	100	4	2
1,0	15	300	4	4
1,0	15	350	4	4
1,0	15	400	4	4
1,0	15	450	4	4
1,0	15	500	4	4
1,0	15	10	5	1
1,0	15	20	5	1
1,0	15	30	5	2
1,0	15	40	5	2
1,0	15	50	5	2
1,0	15	75	5	2
1,0	15	100	5	3
1,0	15	300	5	4
1,0	15	350	5	4
1,0	15	400	5	5
1,0	15	450	5	5
1,0	15	500	5	5
1,0	15	10	6	1
1,0	15	20	6	1
1,0	15	30	6	2
1,0	15	40	6	2
1,0	15	50	6	2
1,0	15	75	6	2
1,0	15	100	6	3
1,0	15	300	6	5
1,0	15	350	6	5
1,0	15	400	6	5
