MATERIAL	NOME DA PEÇA	DN COMERCIAL (mm)	DN REFERÊNCIA (pol)	COMPRIMENTO EQUIVALENTE (m)
PVC RÍGIDO	JOELHO 90°	20	 1/2	1,1
PVC RÍGIDO	JOELHO 90°	25	 3/4	1,2
PVC RÍGIDO	JOELHO 90°	32	1	1,5
PVC RÍGIDO	JOELHO 90°	40	1 1/4	2
PVC RÍGIDO	JOELHO 90°	50	1 1/2	3,2
PVC RÍGIDO	JOELHO 90°	60	2	3,4
PVC RÍGIDO	JOELHO 90°	75	2 1/2	3,7
PVC RÍGIDO	JOELHO 90°	85	3	3,9
PVC RÍGIDO	JOELHO 90°	110	4	4,3
PVC RÍGIDO	JOELHO 90°	140	5	4,9
PVC RÍGIDO	JOELHO 90°	160	6	5,6
PVC RÍGIDO	JOELHO 45°	20	 1/2	0,4
PVC RÍGIDO	JOELHO 45°	25	 3/4	0,5
PVC RÍGIDO	JOELHO 45°	32	1	0,7
PVC RÍGIDO	JOELHO 45°	40	1 1/4	1
PVC RÍGIDO	JOELHO 45°	50	1 1/2	1,3
PVC RÍGIDO	JOELHO 45°	60	2	1,5
PVC RÍGIDO	JOELHO 45°	75	2 1/2	1,7
PVC RÍGIDO	JOELHO 45°	85	3	1,8
PVC RÍGIDO	JOELHO 45°	110	4	1,9
PVC RÍGIDO	JOELHO 45°	140	5	2,4
PVC RÍGIDO	JOELHO 45°	160	6	2,6
PVC RÍGIDO	CURVA 90°	20	 1/2	0,4
PVC RÍGIDO	CURVA 90°	25	 3/4	0,5
PVC RÍGIDO	CURVA 90°	32	1	0,6
PVC RÍGIDO	CURVA 90°	40	1 1/4	0,7
PVC RÍGIDO	CURVA 90°	50	1 1/2	1,2
PVC RÍGIDO	CURVA 90°	60	2	1,3
PVC RÍGIDO	CURVA 90°	75	2 1/2	1,4
PVC RÍGIDO	CURVA 90°	85	3	1,5
PVC RÍGIDO	CURVA 90°	110	4	1,6
PVC RÍGIDO	CURVA 90°	140	5	1,9
PVC RÍGIDO	CURVA 90°	160	6	2,1
PVC RÍGIDO	CURVA 45°	20	 1/2	0,2
