APARELHO SANITÁRIO	PEÇA DE UTILIZAÇÃO	VAZÃO DE PROJETO (L/s)	PESO RELATIVO
BACIA SANITÁRIA	CAIXA DE DESCARGA	0,15	0,3
BACIA SANITÁRIA	VÁLVULA DE DESCARGA	1,7	32
BANHEIRA	MISTURADOR (ÁGUA FRIA)	0,3	1
BEBEDOURO	REGISTRO DE PRESSÃO	0,1	0,1
FILTRO	REGISTRO DE PRESSÃO	0,1	0,1
BIDÊ	MISTURADOR (ÁGUA FRIA)	0,1	0,1
CHUVEIRO	MISTURADOR (ÁGUA FRIA)	0,2	0,4
CHUVEIRO ELÉTRICO	REGISTRO DE PRESSÃO	0,1	0,1
DUCHA HIGIÊNICA	REGISTRO DE PRESSÃO	0,1	0,1
LAVADORA DE PRATOS	REGISTRO DE PRESSÃO	0,3	1
LAVADORA DE ROUPAS	REGISTRO DE PRESSÃO	0,3	1
LAVATÓRIO	TORNEIRA OU MISTURADOR (ÁGUA FRIA)	0,15	0,3
MICTÓRIO CERÂMICO COM SIFÃO INTEGRADO	VÁLVULA DE DESCARGA	0,5	2,8
MICTÓRIO CERÂMICO SEM SIFÃO INTEGRADO	CAIXA DE DESCARGA, REGISTRO DE PRESSÃO OU VÁLVULA DE DESCARGA PARA MICTÓRIO	0,15	0,3
MICTÓRIO TIPO CALHA	CAIXA DE DESCARGA OU REGISTRO DE PRESSÃO	0,15	0,3
PIA	TORNEIRA OU MISTURADOR (ÁGUA FRIA)	0,25	0,7
PIA COM TORNEIRA ELÉTRICA	TORNEIRA ELÉTRICA	0,1	0,1
TANQUE	TORNEIRA	0,25	0,7
TORNEIRA DE JARDIM	TORNEIRA	0,2	0,4
TORNEIRA DE LAVAGEM EM GERAL	TORNEIRA	0,2	0,4

