DN (mm)	n	INCLINAÇÃO (%)	VAZÃO (l/min)
50	0,011	0,5	32
75	0,011	0,5	95
100	0,011	0,5	204
125	0,011	0,5	370
150	0,011	0,5	602
200	0,011	0,5	1.300
250	0,011	0,5	2.350
300	0,011	0,5	3.820
50	0,012	0,5	29
75	0,012	0,5	87
100	0,012	0,5	187
125	0,012	0,5	339
150	0,012	0,5	552
200	0,012	0,5	1.190
250	0,012	0,5	2.150
300	0,012	0,5	3.500
50	0,013	0,5	27
75	0,013	0,5	80
100	0,013	0,5	173
125	0,013	0,5	313
150	0,013	0,5	509
200	0,013	0,5	1.100
250	0,013	0,5	1.990
300	0,013	0,5	3.230
50	0,011	1	45
75	0,011	1	133
100	0,011	1	287
125	0,011	1	521
150	0,011	1	847
200	0,011	1	1.820
250	0,011	1	3.310
300	0,011	1	5.380
50	0,012	1	41
75	0,012	1	122
100	0,012	1	264
125	0,012	1	478
150	0,012	1	777
200	0,012	1	1.670
250	0,012	1	3.030
300	0,012	1	4.930
50	0,013	1	38
75	0,013	1	113
100	0,013	1	243
125	0,013	1	441
150	0,013	1	717
200	0,013	1	1.540
250	0,013	1	2.800
300	0,013	1	4.550
50	0,011	2	64
75	0,011	2	188
100	0,011	2	405
125	0,011	2	735
150	0,011	2	1.190
200	0,011	2	2.570
250	0,011	2	4.660
300	0,011	2	7.590
50	0,012	2	59
75	0,012	2	172
100	0,012	2	372
125	0,012	2	674
150	0,012	2	1.100
200	0,012	2	2.360
250	0,012	2	4.280
300	0,012	2	6.960
50	0,013	2	54
75	0,013	2	159
100	0,013	2	343
125	0,013	2	622
150	0,013	2	1.010
200	0,013	2	2.180
250	0,013	2	3.950
300	0,013	2	6.420
50	0,011	4	90
75	0,011	4	267
100	0,011	4	575
125	0,011	4	1.040
150	0,011	4	1.690
200	0,011	4	3.650
250	0,011	4	6.620
300	0,011	4	10.800
50	0,012	4	83
75	0,012	4	245
100	0,012	4	527
125	0,012	4	956
150	0,012	4	1.550
200	0,012	4	3.350
250	0,012	4	6.070
300	0,012	4	9.870
50	0,013	4	76
75	0,013	4	226
100	0,013	4	486
125	0,013	4	882
150	0,013	4	1.430
200	0,013	4	3.040
250	0,013	4	5.600
300	0,013	4	9.110
