DN (mm)	n	0,50%	1%	2%	4%
50	0,011	32	45	64	90
75	0,011	95	133	188	267
100	0,011	204	287	405	575
125	0,011	370	521	735	1.040
150	0,011	602	847	1.190	1.690
200	0,011	1.300	1.820	2.570	3.650
250	0,011	2.350	3.310	4.660	6.620
300	0,011	3.820	5.380	7.590	10.800
50	0,012	29	41	59	83
75	0,012	87	122	172	245
100	0,012	187	264	372	527
125	0,012	339	478	674	956
150	0,012	552	777	1.100	1.550
200	0,012	1.190	1.670	2.360	3.350
250	0,012	2.150	3.030	4.280	6.070
300	0,012	3.500	4.930	6.960	9.870
50	0,013	27	38	54	76
75	0,013	80	113	159	226
100	0,013	173	243	343	486
125	0,013	313	441	622	882
150	0,013	509	717	1.010	1.430
200	0,013	1.100	1.540	2.180	3.040
250	0,013	1.990	2.800	3.950	5.600
300	0,013	3.230	4.550	6.420	9.110
